,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
221547,-1.191668477,0.42840857,1.640027998,-1.84885886,-0.870902974,-0.204848888,-0.385675453,0.352792552,-1.098301312,-0.334596757,-0.679088729,-0.039670927,1.372660824,-0.732000706,-0.344528134,1.024751027,0.380208554,-1.087348812,0.364507163,0.051923628,0.507173439,1.292565391,-0.467752261,1.244886835,0.697706854,0.059375037,-0.319964326,-0.017444429,27.44,0
184524,1.966614345,-0.450086974,-1.228585982,0.142873045,-0.150626835,-0.543589668,-0.07621737,-0.108390146,0.973310112,-0.029903187,0.279973325,0.885684613,-0.583912053,0.322019127,-1.065335281,-0.340285458,-0.385398503,0.216554097,0.675645784,-0.190851422,0.124054606,0.564916247,-0.039330978,-0.283904001,0.186400388,0.192931673,-0.039154999,-0.07131393,35.95,0
91201,1.528451614,-1.296191248,-0.890676942,-2.504028371,0.803201751,3.350793166,-1.633015958,0.815349572,-1.884691835,1.465258636,-0.188235482,-0.976779495,0.560550356,-0.250847401,0.936114732,0.136408645,-0.078251498,0.355086171,0.127756485,-0.163981602,-0.412088165,-1.017485465,0.129565578,0.948047508,0.287826199,-0.396592441,0.042997493,0.02585317,28.4,0
26115,-0.774614435,1.100916429,0.67908027,1.03401584,0.168632957,0.874581889,0.209454312,0.770550347,-0.558106241,-0.165441623,0.017562487,0.285376722,-0.818739383,0.637990715,-0.370124277,-0.605147818,0.275686046,0.246362265,1.331927384,0.080977579,0.011158193,0.146016557,-0.130401403,-0.848815461,0.005697743,-0.183295196,0.282939531,0.123855846,43.2,0
201292,-1.075860048,1.36115989,1.496972179,2.242604054,1.314751173,0.272786665,1.005246079,0.132932239,-1.558316548,0.484216331,-1.967998036,-1.818338236,-2.036183859,0.34696186,-1.161315824,1.017092524,-0.926787054,0.183964844,-2.102867866,-0.354007725,0.254485329,0.530691896,-0.651119287,0.626389208,1.040212399,0.249501338,-0.146745241,0.029713784,10.59,0
70090,1.422470115,-0.362936452,-0.084693688,-0.568676745,-0.893073865,-1.612957622,-0.095646834,-0.367120023,-1.004360278,0.718485966,-0.129731783,-1.109273619,-1.065888794,0.359091338,0.523197409,0.68487011,0.590577096,-1.568679785,0.519730473,-0.01492623,0.199569202,0.450835603,-0.111273939,0.736231875,0.711024746,-0.101948857,-0.036099216,0.003141122,15,0
269172,2.055459306,-0.028813246,-1.05740525,0.404585084,-0.077833288,-1.120432304,0.194523494,-0.330367745,0.482949585,0.054141068,-0.626282595,0.659307326,0.437446272,0.205758374,0.04586059,-0.181611262,-0.253286161,-1.005062487,0.071973619,-0.208337515,-0.279593266,-0.644071145,0.343206168,-0.00293184,-0.300342907,0.199893253,-0.064920799,-0.059843431,0.89,0
13210,1.293775945,0.369202958,0.309448258,0.629771401,0.082477841,-0.435559896,0.043778348,-0.296998723,1.224239786,-0.473446723,0.164211418,-1.84665003,3.170302742,1.414996904,0.240625127,0.469934516,-0.055793799,-0.123218906,-0.018356214,-0.010134631,-0.441576748,-1.005703026,0.01846475,-0.491389484,0.336660905,0.102774527,-0.052791141,0.009042708,16.99,0
178722,1.810860109,-0.54734344,-0.014965347,1.213778902,-0.733984202,0.303377507,-0.878182937,0.279557152,1.1148966,0.317459066,0.118698871,0.424196468,-0.728846028,0.110799421,0.103214774,0.9724509,-1.15463566,1.078849024,-0.237464803,-0.168028869,0.122586771,0.33175042,0.15915342,-0.555338843,-0.351536403,-0.724535984,0.060567891,-0.02695217,60,0
207262,2.048238644,0.131550504,-1.76813515,0.244709622,0.620000611,-0.41749213,0.105792854,-0.098450237,0.187346195,-0.221100918,0.999477942,0.980098671,0.431357517,-0.743373008,-0.523976938,0.55926157,0.117209477,0.210681497,0.42459447,-0.111102948,-0.322991547,-0.839968467,0.29451834,0.267634243,-0.244189851,0.166791425,-0.064121194,-0.042026137,1.79,0
262113,1.929397685,-1.053178442,-0.900903647,-0.58595028,-0.372635107,0.557595736,-0.725936959,0.055606269,-0.293740942,0.721468571,0.142958593,1.409329235,2.005660576,-0.288366532,-0.267103741,-0.923216047,-0.948410056,1.718631513,-0.210427968,-0.255671771,-0.519741548,-1.120442806,0.280016955,-0.198038857,-0.429442228,-0.677077825,0.036776572,-0.017378709,111.59,0
77543,-1.267475097,0.458350088,1.799461667,-1.162097732,-1.04962112,0.130869069,-0.008360331,0.76156559,0.246741179,-1.078619625,0.287135831,0.627744362,-0.495713052,-0.040831927,-1.063600681,0.809729259,-0.54823201,0.416173038,-0.062189139,0.127626776,0.029150781,-0.040379164,0.060148523,0.032290975,-0.036448676,0.854296895,0.097274299,0.081933217,100,0
220598,1.895304724,-1.855935169,-1.715244987,-1.535340005,-0.881140213,-0.496323447,-0.472874892,-0.237650605,-1.848580039,1.669404653,0.80825648,-0.090621906,0.247317304,0.092231146,-1.079940179,-0.737939896,0.466909196,-0.040337346,0.21814869,-0.013707077,-0.128318566,-0.390261622,0.098831021,0.685637192,-0.177713843,-0.309121109,-0.062088603,-0.028134108,218,0
232336,2.084555504,-1.271331871,-2.137750122,-2.777755531,-0.589248323,-1.506730633,-0.009524222,-0.420298597,0.627196321,-0.218461814,0.615763229,0.823186734,-0.446342185,0.813716563,0.372468612,-2.567149086,-0.098561095,1.852855212,0.715556401,-0.484508315,-0.167336529,0.027428882,-0.068042126,-0.347385428,0.32354088,-0.705948245,0.01244924,-0.058077163,89.98,0
278850,2.08996179,-0.779272941,-1.394617953,-0.411360957,-0.363521809,-0.662920139,-0.197883941,-0.269229346,-0.453360039,0.820716653,-1.183246119,0.03280685,0.269652082,0.088231012,-0.299339669,-1.687355863,0.021226818,0.517242595,-0.478754973,-0.487681512,-0.59720599,-1.245131915,0.344433365,0.639717951,-0.316998222,0.357608198,-0.07197801,-0.044968607,58.47,0
58625,-0.969391981,-0.425451495,1.719085241,-1.522503492,0.039450199,-1.044677036,0.84670046,-0.195767444,1.183694023,-1.636222617,-0.036907578,0.594413618,-0.742177689,-0.161589545,0.107424012,-1.341404293,0.306904391,-0.859970915,-0.183744389,0.180883125,-0.028532288,-0.014184346,0.228058206,0.584869734,-0.081383788,-1.026946672,-0.041268922,-0.068795388,106.04,0
69927,1.07083384,0.209250399,0.081751989,1.144126983,-0.022460714,-0.461444865,0.318132737,0.028274995,-0.41060637,0.203283872,1.58282547,0.437656265,-1.437740727,1.056381169,0.35316156,-0.143315638,-0.161561376,-0.537150239,-0.29988655,-0.174457667,-0.226945069,-0.834191597,0.110447879,0.150121624,0.313326411,-0.647605988,-0.007419623,0.013487439,46.96,0
107641,1.175796037,0.124236892,0.497464544,0.458032849,-0.270706761,-0.207000428,-0.14800327,0.103847825,-0.155798345,0.071541048,1.632176538,0.923531329,-0.20092685,0.545844874,0.628511082,0.226495416,-0.372562914,-0.444957807,-0.18400625,-0.142096587,-0.183518681,-0.551137402,0.159058185,0.001349456,0.101169296,0.10842737,-0.018914848,0.004369568,0.89,0
143884,1.038298042,-0.269700997,0.408835194,0.863429517,-0.515726708,-0.239474275,-0.046539106,0.023607031,0.565674461,-0.251504474,-0.567747758,0.162419109,-0.798949664,0.127076385,0.132878763,-0.530325757,0.356794735,-1.055225489,-0.160224796,-0.042689515,-0.165967505,-0.472606005,-0.017060305,0.089274193,0.326794445,0.293284703,-0.025368758,0.021320424,84.37,0
