Ever_Married,Age,Profession,Work_Experience,Family_Size,Var_1,Segmentation,Gender_Male,Graduated_Yes,Spending_Score_High,Spending_Score_Low
No,22,Healthcare,1,4,Cat_4,D,1,0,0,1
Yes,38,Engineer,NA,3,Cat_4,A,0,1,0,0
Yes,67,Engineer,1,1,Cat_6,B,0,1,0,1
Yes,67,Lawyer,0,2,Cat_6,B,1,1,1,0
Yes,40,Entertainment,NA,6,Cat_6,A,0,1,1,0
Yes,56,Artist,0,2,Cat_6,C,1,0,0,0
No,32,Healthcare,1,3,Cat_6,C,1,1,0,1
No,33,Healthcare,1,3,Cat_6,D,0,1,0,1
Yes,61,Engineer,0,3,Cat_7,D,0,1,0,1
Yes,55,Artist,1,4,Cat_6,C,0,1,0,0
No,26,Engineer,1,3,Cat_6,A,0,1,0,1
No,19,Healthcare,4,4,Cat_4,D,1,0,0,1
No,19,Executive,0,NA,Cat_3,D,0,0,0,1
Yes,70,Lawyer,NA,1,Cat_6,A,1,0,0,1
Yes,58,Doctor,0,1,Cat_3,B,0,0,0,1
No,41,Healthcare,1,2,Cat_1,C,0,0,0,1
No,32,Homemaker,9,5,Cat_3,D,0,0,0,1
No,31,Healthcare,1,6,Cat_6,B,1,0,0,1
Yes,58,Entertainment,1,4,Cat_6,B,1,1,0,0
Yes,79,Artist,0,1,Cat_6,C,0,1,1,0
Yes,49,Homemaker,12,1,Cat_3,A,1,1,0,1
No,18,Healthcare,3,4,Cat_6,D,0,0,0,1
Yes,33,Artist,13,2,Cat_3,A,1,1,0,1
No,36,Artist,5,2,Cat_6,B,0,1,0,1
NA,58,Executive,1,3,Cat_3,B,0,0,0,0
Yes,56,Artist,1,3,Cat_6,C,1,0,0,0
No,31,Healthcare,9,8,Cat_4,A,1,0,0,1
Yes,49,Artist,1,3,Cat_6,C,1,1,0,0
No,35,Artist,0,1,Cat_6,B,1,1,0,1
No,35,Artist,5,4,Cat_6,C,0,0,0,1
Yes,45,Artist,0,3,Cat_6,C,0,1,0,1
Yes,42,Doctor,1,2,Cat_4,A,0,0,0,1
No,19,Healthcare,1,3,Cat_2,D,1,0,0,1
No,26,Homemaker,9,NA,Cat_6,D,1,0,0,1
Yes,83,Lawyer,1,2,Cat_6,D,0,0,1,0
No,27,Healthcare,3,4,Cat_1,D,0,1,0,1
No,32,Doctor,5,1,Cat_4,D,1,0,0,1
Yes,28,Healthcare,1,5,Cat_3,D,0,0,0,0
Yes,28,Artist,8,2,Cat_6,A,0,1,0,1
Yes,56,Artist,NA,2,Cat_6,C,1,1,0,0
No,47,Artist,4,1,Cat_6,B,0,1,0,1
No,22,Healthcare,0,2,Cat_6,D,0,0,0,1
No,27,Artist,14,3,Cat_6,A,0,1,0,1
Yes,49,Artist,1,2,NA,C,0,1,0,1
Yes,40,Engineer,8,1,Cat_6,A,1,0,0,1
Yes,79,Lawyer,NA,2,Cat_6,A,0,0,1,0
Yes,41,Artist,0,4,Cat_4,B,1,1,0,0
No,29,Healthcare,NA,1,Cat_7,A,0,1,0,1
No,19,Healthcare,0,4,Cat_6,D,1,0,0,1
No,45,Engineer,1,1,Cat_6,A,0,1,0,1
Yes,61,Artist,1,2,Cat_2,B,0,0,0,0
Yes,36,Artist,1,2,Cat_6,C,0,1,0,0
Yes,40,Artist,1,1,Cat_3,A,1,1,0,1
Yes,57,Entertainment,0,2,Cat_6,C,0,1,0,0
Yes,76,Marketing,1,1,Cat_4,A,1,0,0,1
Yes,32,Artist,14,2,Cat_6,B,1,1,0,0
No,25,Healthcare,9,4,Cat_6,D,1,1,0,1
No,32,Doctor,8,2,Cat_6,D,1,NA,0,1
